layout_variant,source_config_id,room_type,n_scenes,n_relations,relation_accuracy,conditional_accuracy,missing_rate,unsupported_rate
baseline,instructscene_baseline,bedroom,162,245,0.726530612244898,0.7807017543859649,0.06938775510204082,0.0
baseline,instructscene_baseline,diningroom,177,269,0.5836431226765799,0.6738197424892703,0.13382899628252787,0.0
baseline,instructscene_baseline,livingroom,192,294,0.6054421768707483,0.7007874015748031,0.1360544217687075,0.0
collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,bedroom,162,245,0.7306122448979592,0.7850877192982456,0.06938775510204082,0.0
collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,diningroom,177,269,0.587360594795539,0.6781115879828327,0.13382899628252787,0.0
collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,livingroom,192,294,0.6122448979591837,0.7086614173228346,0.1360544217687075,0.0
generic_relation_optimizer,eg06_generic_budget_matched,bedroom,162,245,0.726530612244898,0.7807017543859649,0.06938775510204082,0.0
generic_relation_optimizer,eg06_generic_budget_matched,diningroom,177,269,0.5947955390334573,0.6866952789699571,0.13382899628252787,0.0
generic_relation_optimizer,eg06_generic_budget_matched,livingroom,192,294,0.6122448979591837,0.7086614173228346,0.1360544217687075,0.0
random_movement_matched_seed0,eg06_random_seed0,bedroom,162,245,0.7224489795918367,0.7763157894736842,0.06938775510204082,0.0
random_movement_matched_seed0,eg06_random_seed0,diningroom,177,269,0.5687732342007435,0.6566523605150214,0.13382899628252787,0.0
random_movement_matched_seed0,eg06_random_seed0,livingroom,192,294,0.5884353741496599,0.6811023622047244,0.1360544217687075,0.0
random_movement_matched_seed1,eg06_random_seed1,bedroom,162,245,0.710204081632653,0.7631578947368421,0.06938775510204082,0.0
random_movement_matched_seed1,eg06_random_seed1,diningroom,177,269,0.5687732342007435,0.6566523605150214,0.13382899628252787,0.0
random_movement_matched_seed1,eg06_random_seed1,livingroom,192,294,0.6054421768707483,0.7007874015748031,0.1360544217687075,0.0
random_movement_matched_seed2,eg06_random_seed2,bedroom,162,245,0.7224489795918367,0.7763157894736842,0.06938775510204082,0.0
random_movement_matched_seed2,eg06_random_seed2,diningroom,177,269,0.5724907063197026,0.6609442060085837,0.13382899628252787,0.0
random_movement_matched_seed2,eg06_random_seed2,livingroom,192,294,0.6020408163265306,0.6968503937007874,0.1360544217687075,0.0
