scene_id,room_type,layout_variant,source_config_id,n_relations,n_evaluated,n_satisfied,n_missing,n_unsupported,relation_accuracy,conditional_accuracy,has_conflicting_targets
bedroom:015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:0d7be408-9e3d-4f68-8422-5aa2069ccdb2_MasterBedroom-27127,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:0d7be408-9e3d-4f68-8422-5aa2069ccdb2_MasterBedroom-27127,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:0f401f03-d3c7-413b-b9ff-bfb6fdbb416d_MasterBedroom-75552,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:0f401f03-d3c7-413b-b9ff-bfb6fdbb416d_MasterBedroom-75552,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:0f7d04b8-9de9-4e07-9a44-0cdb8b2703f4_SecondBedroom-19119,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:0f7d04b8-9de9-4e07-9a44-0cdb8b2703f4_SecondBedroom-19119,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787,bedroom,baseline,instructscene_baseline,2,1,1,1,0,0.5,1.0,0
bedroom:13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,1,1,1,0,0.5,1.0,0
bedroom:14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:15de4a4c-2258-4015-9cc3-f2ebbb9d61e5_SecondBedroom-35821,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:15de4a4c-2258-4015-9cc3-f2ebbb9d61e5_SecondBedroom-35821,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:185d02b3-ca3f-40a9-a981-71ecb7944538_Bedroom-18055,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:185d02b3-ca3f-40a9-a981-71ecb7944538_Bedroom-18055,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:189b1d9b-894e-43b5-87be-c1b76cba3df4_SecondBedroom-19262,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:189b1d9b-894e-43b5-87be-c1b76cba3df4_SecondBedroom-19262,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:198eb9ec-9059-4e26-958e-dc8fb8187713_Bedroom-12864,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:198eb9ec-9059-4e26-958e-dc8fb8187713_Bedroom-12864,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:19c91c8f-02fc-44d9-b275-84c32f0572ad_SecondBedroom-266050,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:19c91c8f-02fc-44d9-b275-84c32f0572ad_SecondBedroom-266050,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,bedroom,baseline,instructscene_baseline,2,2,0,0,0,0.0,0.0,0
bedroom:1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,0,0,0,0.0,0.0,0
