room,scene,before_path,after_path,ssim_before_after,before_brightness,before_contrast,before_sharpness_lap_var,before_entropy,before_saturation,after_brightness,delta_brightness,after_contrast,delta_contrast,after_sharpness_lap_var,delta_sharpness_lap_var,after_entropy,delta_entropy,after_saturation,delta_saturation
bedroom,scene_0001_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0001_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_before.png,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0001_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_after.png,0.6756572218620258,246.05090072320843,32.407380078326234,1469.1068934911243,1.1673944031126273,7.569727153188691,241.69348783694937,-4.3574128862590555,38.006829142547,5.599449064220764,1855.9334746877055,386.8265811965812,1.6262497884239295,0.4588553853113022,12.492089086127548,4.922361932938856
bedroom,scene_0004_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0004_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_before.png,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0004_0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167_after.png,0.7542589967114427,249.9042094017094,27.098595954920093,1452.9538823142668,0.686880532911496,2.062051282051282,249.75352071005918,-0.15068869165023102,27.388068556246928,0.2894726013268354,1468.665473372781,15.71159105851416,0.699103139019414,0.012222606107918033,2.185488165680473,0.12343688362919103
bedroom,scene_0008_0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0008_0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719_before.png,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0008_0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719_after.png,0.7036587869434243,243.5550493096647,33.90780603546805,1639.12063773833,1.3842329679124874,11.068473044049966,244.77213017751478,1.2170808678500862,32.85360583812498,-1.0542001973430715,1597.4149572649574,-41.705680473372695,1.2696947856588277,-0.11453818225365975,9.370930309007232,-1.6975427350427346
bedroom,scene_0010_12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0010_12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415_before.png,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0010_12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415_after.png,0.8496664989529951,249.19360453648915,28.452886664770418,1511.1371236028929,0.7601331655481414,2.585509533201841,249.23896449704142,0.045359960552275425,28.395204516940847,-0.057682147829570596,1484.9339053254437,-26.203218277449196,0.7508589929311208,-0.00927417261702057,2.574817554240631,-0.01069197896120988
bedroom,scene_0011_12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0011_12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145_before.png,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0011_12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145_after.png,0.7249435124768586,246.5275460223537,32.36389444990889,1609.7873274161736,1.0798129560588556,5.701706114398422,247.9004635108481,1.3729174884944086,30.659864830462624,-1.704029619446267,1581.4572879684417,-28.330039447731906,0.9166883044697637,-0.16312465158909195,4.169722222222222,-1.5319838921762
bedroom,scene_0012_13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0012_13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787_before.png,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0012_13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787_after.png,0.8826808398397522,246.13813938198552,32.52123157738589,1842.0880374753451,1.0910848803926836,5.076005917159764,246.19408612754768,0.055946745562152955,32.45366134431304,-0.06757023307284982,1813.6793096646943,-28.408727810650817,1.0786225989691558,-0.012462281423527788,5.072465483234714,-0.0035404339250497685
bedroom,scene_0013_14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0013_14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322_before.png,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0013_14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322_after.png,0.7013771269789604,240.87524654832347,36.95459132336271,1993.1518803418803,1.6282753689512957,7.606770216962524,240.79071170282708,-0.08453484549639256,36.999397664478835,0.04480634111612147,1994.1336160420776,0.981735700197305,1.6430364588611888,0.01476108990989311,7.687453977646285,0.08068376068376093
bedroom,scene_0020_1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0020_1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352_before.png,E:\research_worldmodel\visual\mesh_renders\bedroom\scene_0020_1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352_after.png,0.6858035112155143,245.16820512820513,32.700771869603486,1643.1021761998686,1.1030396439670558,7.113418803418804,246.15843688362918,0.9902317554240483,31.528767188237058,-1.1720046813664275,1597.9674884944116,-45.134687705457054,1.0099410748841553,-0.09309856908290048,6.091318211702827,-1.0221005917159767
diningroom,scene_0000_004f900c-468a-4f70-83cc-aa2c98875264_LivingDiningRoom-27430,E:\research_worldmodel\visual\mesh_renders\diningroom\scene_0000_004f900c-468a-4f70-83cc-aa2c98875264_LivingDiningRoom-27430_before.png,E:\research_worldmodel\visual\mesh_renders\diningroom\scene_0000_004f900c-468a-4f70-83cc-aa2c98875264_LivingDiningRoom-27430_after.png,0.8389417165817051,246.28981755424064,33.38624279482311,1441.5423734385272,0.929433841593523,6.132370151216305,246.14068047337278,-0.1491370808678596,33.67079375855534,0.28455096373222943,1476.7111111111112,35.16873767258403,0.9545370613503423,0.025103219756819284,6.16224358974359,0.029873438527284968
diningroom,scene_0001_00fe8139-76e8-42b4-bb41-7f9f085ac351_DiningRoom-15534,E:\research_worldmodel\visual\mesh_renders\diningroom\scene_0001_00fe8139-76e8-42b4-bb41-7f9f085ac351_DiningRoom-15534_before.png,E:\research_worldmodel\visual\mesh_renders\diningroom\scene_0001_00fe8139-76e8-42b4-bb41-7f9f085ac351_DiningRoom-15534_after.png,0.7061082729823553,247.73882971729125,29.4332351350876,1688.5404240631165,0.9934572277173961,3.330976331360947,248.0101479289941,0.2713182117028339,29.822936585658145,0.38970145057054495,1789.1403977646285,100.599973701512,0.9417797573684082,-0.05167747034898784,2.772730111768573,-0.5582462195923736
