scene_index,baseline_overlap_iou_sum,baseline_sg_consistency,baseline_active_objects,s0075_d025_i050_overlap_delta,s0075_d025_i050_consistency_drop,s0075_d025_i050_movement_mean,s0075_d025_i050_movement_max,s0075_d035_i050_overlap_delta,s0075_d035_i050_consistency_drop,s0075_d035_i050_movement_mean,s0075_d035_i050_movement_max,s0025_d015_i025_overlap_delta,s0025_d015_i025_consistency_drop,s0025_d015_i025_movement_mean,s0025_d015_i025_movement_max,s0025_d025_i050_overlap_delta,s0025_d025_i050_consistency_drop,s0025_d025_i050_movement_mean,s0025_d025_i050_movement_max,s0050_d025_i050_overlap_delta,s0050_d025_i050_consistency_drop,s0050_d025_i050_movement_mean,s0050_d025_i050_movement_max,s0075_d015_i050_overlap_delta,s0075_d015_i050_consistency_drop,s0075_d015_i050_movement_mean,s0075_d015_i050_movement_max,s0075_d025_i025_overlap_delta,s0075_d025_i025_consistency_drop,s0075_d025_i025_movement_mean,s0075_d025_i025_movement_max,s0075_d025_i075_overlap_delta,s0075_d025_i075_consistency_drop,s0075_d025_i075_movement_mean,s0075_d025_i075_movement_max
0,0.01008777873270484,1.0,4,-0.01008777873270484,0.0,0.018750000000000003,0.07500000000000001,-0.01008777873270484,0.0,0.018750000000000003,0.07500000000000001,-0.01008777873270484,0.0,0.018750000000000003,0.07500000000000001,-0.01008777873270484,0.0,0.018750000000000003,0.07500000000000001,-0.01008777873270484,0.0,0.025,0.1,-0.01008777873270484,0.0,0.018750000000000003,0.07500000000000001,-0.01008777873270484,0.0,0.018750000000000003,0.07500000000000001,-0.01008777873270484,0.0,0.018750000000000003,0.07500000000000001
1,1.0896116239843359,0.8823529411764706,7,-0.4614967873285515,0.0,0.18431360765795227,0.2250000000000005,-0.49522427894395493,0.0,0.20568098372604732,0.30000000000000066,-0.3522839861253957,0.0,0.1333682651965075,0.15,-0.42480525342211717,0.0,0.17877336472164357,0.2499990705626491,-0.4212292828981148,0.0,0.1781025592042498,0.25,-0.3254074782601273,0.0,0.10294806187048391,0.15,-0.4614967873285515,0.0,0.1843136076579522,0.22500000000000003,-0.4614967873285515,0.0,0.1843136076579522,0.22500000000000003
2,0.2529479282622308,1.0,3,-0.088713728311825,0.0,0.15,0.22500000000000003,-0.12405004486180404,0.0,0.19999999999999996,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051093762984911334,0.0,0.09999999999999999,0.15,-0.088713728311825,0.0,0.14999999999999997,0.22499999999999995,-0.088713728311825,0.0,0.14999999999999997,0.22499999999999995
3,0.14348186334679255,1.0,5,-0.07115224917233448,0.0,0.10499999999999998,0.22500000000000003,-0.0711522491723345,0.0,0.10500000000000001,0.30000000000000004,-0.0005566783323224522,0.0,0.004999999999999999,0.024999999999999994,-0.0005566783323224522,0.0,0.005,0.025,-0.062270208594576076,0.0,0.09,0.2,-0.015557569037341179,0.0,0.045000000000000005,0.07500000000000001,-0.07115224917233448,0.0,0.10500000000000001,0.22500000000000003,-0.07115224917233448,0.0,0.10500000000000001,0.22500000000000003
4,0.28974148526694243,0.8823529411764706,7,-0.28974148526694243,0.0,0.07499999999999998,0.22499999999999992,-0.2855689133280026,0.0,0.07499999999999998,0.29999999999999993,-0.20584811295503333,0.0,0.035714285714285705,0.12499999999999997,-0.28974148526694243,0.0,0.067857107750708,0.24999999999999997,-0.28974148526694243,0.0,0.07142857142857142,0.24999999999999997,-0.23729489366377576,0.0,0.04285714285714286,0.15,-0.28974148526694243,0.0,0.07499999999999998,0.22499999999999998,-0.28974148526694243,0.0,0.07499999999999998,0.22499999999999998
5,0.07200877355243186,0.8888888888888888,5,-0.050801172807847086,0.0,0.13950609616669124,0.24774780092687068,-0.05273948726655808,0.0,0.1264218714667322,0.33015487216850586,-0.033503678666080755,0.0,0.06952128299062921,0.14992610881315985,-0.05273948726655808,0.0,0.1117901346333402,0.2428957211144367,-0.052484317284397466,0.0,0.09132447486833165,0.24580958841115177,-0.04067762442311349,0.0,0.10490516797893876,0.1499441650879688,-0.050801172807847086,0.0,0.13950609616669118,0.24774780092687068,-0.050801172807847086,0.0,0.13950609616669118,0.24774780092687068
6,0.08809400663414625,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.19962294050073412,0.7777777777777778,5,-0.05253464097230831,0.0,0.1275600802739415,0.2249526108806915,-0.06023451977211741,0.0,0.18710382662608788,0.3349844686650776,-0.04188699365418111,0.0,0.09070445801709229,0.14999779843661898,-0.05668728840815787,0.0,0.1514145115137547,0.24999788452741184,-0.056723784213376954,0.0,0.15825100863685196,0.25,-0.03756865848205293,0.0,0.08452662220482418,0.15,-0.05253464097230831,0.0,0.12756008027394145,0.2249526108806913,-0.05253464097230831,0.0,0.12756008027394145,0.2249526108806913
8,0.37414628534482397,0.8636363636363636,8,-0.1779673361192845,0.0,0.15066056941263353,0.225,-0.19128245686742223,0.0,0.16985754598653438,0.30000000000000004,-0.14953348549911036,0.0,0.11319587597444519,0.14999999999999997,-0.18335359338266377,0.0,0.16169262598330597,0.25,-0.18334406580228543,0.0,0.1610656597586764,0.25,-0.13884004010141066,0.0,0.10922412293823659,0.15,-0.1779673361192845,0.0,0.1506605694126335,0.225,-0.1779673361192845,0.0,0.1506605694126335,0.225
9,0.10892417711366309,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.11671701012248975,1.0,4,-0.1021366324789628,0.0,0.17890779104346693,0.2250000000000002,-0.11526133123918535,0.0,0.23371555403459787,0.30000000000000027,-0.08361583525581438,0.0,0.1368707500467085,0.14997188151762894,-0.10952523180685543,0.0,0.20463652605359692,0.24812240296092708,-0.10649923645780784,0.0,0.20784527290051724,0.2499776321039534,-0.07937851389657959,0.0,0.1245670947765859,0.15,-0.1021366324789628,0.0,0.17890779104346682,0.22499999999999998,-0.1021366324789628,0.0,0.17890779104346682,0.22499999999999998
11,0.4038997774318197,1.0,4,-0.10862556334004414,0.0,0.20623387563007556,0.22500000000000003,-0.17606496404654462,0.0,0.24371035293848586,0.30000000000000004,-0.01859274772947528,0.0,0.06249876570849102,0.1499950628339645,-0.01859274772947528,0.0,0.062498765708491166,0.14999506283396466,-0.13247853660093428,0.0,0.21246677256126256,0.25,-0.04534886423087464,0.0,0.15,0.15,-0.10862556334004414,0.0,0.20623387563007559,0.225,-0.10862556334004414,0.0,0.20623387563007559,0.225
12,0.5010084175692193,0.6875,7,-0.20278980245921419,-0.125,0.08691214961569718,0.21928430487530728,-0.2948398190394623,-0.0625,0.13507323858017664,0.3367684110889879,-0.13300636418916656,-0.125,0.0647515415208425,0.14882050279782105,-0.23052696472728185,-0.125,0.10232148049106159,0.24181020097084263,-0.22501290611356028,-0.125,0.0987275627477737,0.2498827007912836,-0.12885612081664982,-0.125,0.0847979254547578,0.14983991688260018,-0.20278980245921419,-0.125,0.08691214961569718,0.21928430487530728,-0.20278980245921419,-0.125,0.08691214961569718,0.21928430487530728
13,0.30924275481653085,0.8947368421052632,7,-0.07250400493573528,0.0,0.04285714285714286,0.07500000000000005,-0.07250400493573528,0.0,0.04285714285714286,0.07500000000000005,-0.12369730272562446,0.0,0.046419006607638695,0.09993799909135156,-0.12369730272562446,0.0,0.04641900660763869,0.0999379990913516,-0.09251554250645042,0.0,0.04284087280324689,0.1,-0.07250400493573528,0.0,0.04285714285714286,0.075,-0.07250400493573528,0.0,0.04285714285714286,0.075,-0.07250400493573528,0.0,0.04285714285714286,0.075
14,0.19278893092108604,0.8,4,-0.002352998946846485,0.0,0.02330930912120873,0.09323723648483492,-0.002352998946846485,0.0,0.02330930912120873,0.09323723648483492,-0.002352998946846485,0.0,0.01267454795525209,0.05069819182100836,-0.002352998946846485,0.0,0.012674547955252092,0.05069819182100837,-0.002352998946846485,0.0,0.01539705286684311,0.06158821146737244,-0.002352998946846485,0.0,0.02330930912120873,0.09323723648483492,-0.002352998946846485,0.0,0.02330930912120873,0.09323723648483492,-0.002352998946846485,0.0,0.02330930912120873,0.09323723648483492
15,0.08121988295562715,0.8888888888888888,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.121312379461662,1.0,7,-0.45535639210493084,0.0,0.04214087050516452,0.11976109834487325,-0.45535639210493084,0.0,0.04214087050516452,0.11976109834487325,-0.531682288608801,0.0,0.06665531127673756,0.13956041989562049,-0.531682288608801,0.0,0.06665531127673754,0.13956041989562046,-0.529798624084895,0.0,0.055006119053945195,0.12832502636517928,-0.45535639210493084,0.0,0.04214087050516453,0.11976109834487328,-0.45535639210493084,0.0,0.04214087050516453,0.11976109834487328,-0.45535639210493084,0.0,0.04214087050516453,0.11976109834487328
