annotation_id,scene_id,room_type,layout_variant,relation_id,subject_class,predicate,object_class,image_or_view_path,human_label,missing_object,visibility_quality,annotator_id,notes,baseline_satisfied,repair_satisfied
EG02-BED-0001,12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,bedroom,collision_gated_floor_prior,10:1:20-7-12,wardrobe,behind,nightstand,images/EG02-BED-0001.svg,satisfied,none,good,D,,,
EG02-BED-0002,12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,bedroom,collision_gated_floor_prior,11:1:12-7-13,nightstand,behind,pendant_lamp,images/EG02-BED-0002.svg,satisfied,none,good,D,,,
EG02-BED-0003,29aa7167-1c46-4ce0-8c58-3cfb7a7d15af_SecondBedroom-69556,bedroom,collision_gated_floor_prior,34:1:8-7-18,double_bed,behind,table,images/EG02-BED-0003.svg,not_satisfied,none,partial,D,,,
EG02-BED-0004,38e3cf4a-a67b-42d8-b467-2d1a3e5407a8_SecondBedroom-15551,bedroom,collision_gated_floor_prior,43:0:12-7-8,nightstand,behind,double_bed,images/EG02-BED-0004.svg,satisfied,none,good,D,,,
EG02-BED-0005,74eafabd-fe9b-4f87-81f4-5af7f0b566ff_Bedroom-26487,bedroom,collision_gated_floor_prior,84:0:8-7-18,double_bed,behind,table,images/EG02-BED-0005.svg,uncertain,none,good,D,,,
EG02-BED-0006,eb41d9bd-e372-479c-9dc9-ea9f738bf9c4_MasterBedroom-28978,bedroom,collision_gated_floor_prior,152:0:8-7-20,double_bed,behind,wardrobe,images/EG02-BED-0006.svg,satisfied,none,good,D,,,
EG02-BED-0007,ed41e047-ee12-4f00-8add-0ee6b95d1585_MasterBedroom-3712,bedroom,collision_gated_floor_prior,154:0:4-7-13,chair,behind,pendant_lamp,images/EG02-BED-0007.svg,satisfied,none,good,D,,,
EG02-BED-0008,15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,bedroom,collision_gated_floor_prior,14:1:8-5-13,double_bed,below,pendant_lamp,images/EG02-BED-0008.svg,not_satisfied,none,good,D,,,
EG02-BED-0009,56fedd11-b226-4c51-8d89-552caf24487b_SecondBedroom-19232,bedroom,collision_gated_floor_prior,64:0:8-5-13,double_bed,below,pendant_lamp,images/EG02-BED-0009.svg,not_satisfied,none,good,D,,,
EG02-BED-0010,9e9c7c48-a631-4ded-a271-7dd697faf0dc_MasterBedroom-1615,bedroom,collision_gated_floor_prior,105:0:8-5-13,double_bed,below,pendant_lamp,images/EG02-BED-0010.svg,not_satisfied,none,good,D,,,
