annotation_id,image_or_view_path,scene_id,room_type,subject_class,predicate,object_class,subject_index,object_index,subject_center_xyz,object_center_xyz,dx_subject_minus_object,dy_subject_minus_object,dz_subject_minus_object,distance_xz,coord_rule_label,repair_relation_exact_present,baseline_relation_exact_present,pair_alignment_status,human_label,missing_object,visibility_quality,annotator_id,notes,source_text,coord_rule,layout_variant,relation_id,source_json,raw_predicate,baseline_satisfied,repair_satisfied,label_a,label_d,final_label,final_label_source,adjudicator_id,adjudication_notes,final_vs_coord
EG02-BED-0001,images/EG02-BED-0001.jpg,12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,bedroom,wardrobe,behind,nightstand,0,1,"[0.188535,1.26446,-1.859672]","[-0.531177,0.348113,-0.741779]",0.719711,0.916348,-1.117893,1.329537,satisfied,1,0,ok,satisfied,none,good,A,,"Place a black and grey double bed in front of a wardrobe. Then, arrange a black and white square nightstand in front of a black wardrobe with hanging clothes.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,10:1:20-7-12,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0002,images/EG02-BED-0002.jpg,12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,bedroom,nightstand,behind,pendant_lamp,1,0,"[0.809987,0.277235,-1.101967]","[0.859987,2.461284,0.498033]",-0.05,-2.184049,-1.6,1.600781,satisfied,1,0,ok,satisfied,none,good,A,,Add a nightstand with drawers left of a nightstand with drawers. And install a pendant lamp with metal rods in front of a nightstand with drawers.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,11:1:12-7-13,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0003,images/EG02-BED-0003.jpg,29aa7167-1c46-4ce0-8c58-3cfb7a7d15af_SecondBedroom-69556,bedroom,double_bed,behind,table,3,4,"[0.269294,0.421506,-0.202898]","[0.967656,0.268123,1.04536]",-0.698362,0.153383,-1.248257,1.430334,satisfied,1,1,ok,satisfied,none,good,A,,"Set up a wardrobe with a door and drawers in front of a gray double bed with sheets and pillows. Finnally, add a black corner side table with a round top in front of a gray double bed with sheets and pillows.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,34:1:8-7-18,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,1,1,satisfied,not_satisfied,satisfied,adjudicated,A,,agree
EG02-BED-0004,images/EG02-BED-0004.jpg,38e3cf4a-a67b-42d8-b467-2d1a3e5407a8_SecondBedroom-15551,bedroom,nightstand,behind,double_bed,1,2,"[2.354744,0.248817,-1.236137]","[1.414102,0.591895,0.202303]",0.940642,-0.343077,-1.43844,1.718696,satisfied,1,1,ok,satisfied,none,good,A,,Position a double bed with pillows and a blanket in front of a black and grey nightstand cabinet.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,43:0:12-7-8,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0005,images/EG02-BED-0005.jpg,74eafabd-fe9b-4f87-81f4-5af7f0b566ff_Bedroom-26487,bedroom,double_bed,behind,table,1,3,"[0.44943,0.631017,-0.360264]","[1.596843,0.222925,-1.58514]",-1.147413,0.408092,1.224875,1.678355,not_satisfied,1,1,ok,not_satisfied,none,good,A,,Put a black corner side table with a square top in front of a grey double bed with sheets and pillows.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,84:0:8-7-18,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,1,1,not_satisfied,satisfied,not_satisfied,adjudicated,A,,agree
EG02-BED-0006,images/EG02-BED-0006.jpg,eb41d9bd-e372-479c-9dc9-ea9f738bf9c4_MasterBedroom-28978,bedroom,double_bed,behind,wardrobe,3,0,"[-0.31547,0.888066,0.379695]","[-0.092697,1.110389,1.927391]",-0.222773,-0.222323,-1.547696,1.563647,satisfied,1,1,ok,satisfied,none,good,A,,Put a grey and black double bed with headboard behind a wooden wardrobe with a strip of wood.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,152:0:8-7-20,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0007,images/EG02-BED-0007.jpg,ed41e047-ee12-4f00-8add-0ee6b95d1585_MasterBedroom-3712,bedroom,chair,behind,pendant_lamp,3,1,"[0.528866,0.445686,-0.987209]","[-0.180042,2.436665,0.009575]",0.708908,-1.990979,-0.996784,1.223164,satisfied,1,0,ok,satisfied,none,good,A,,"Place a black dining chair with a black frame behind a black pendant lamp with dots. Next, add a black pendant lamp with dots in front of an office desk with drawers.",left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,154:0:4-7-13,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0008,images/EG02-BED-0008.jpg,15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,bedroom,double_bed,below,pendant_lamp,3,1,"[-0.221713,1.138828,-0.013198]","[0.031764,1.813922,-0.150846]",-0.253477,-0.675094,0.137649,0.288441,satisfied,1,1,ok,satisfied,none,good,A,,Add a black wooden wardrobe with doors and shelves in front of a black and white nightstand with a silver handle. Set up a double bed with canopy and pillows below a black pendant lamp with crystals.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,14:1:8-5-13,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,below,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0009,images/EG02-BED-0009.jpg,56fedd11-b226-4c51-8d89-552caf24487b_SecondBedroom-19232,bedroom,double_bed,below,pendant_lamp,2,1,"[-0.263789,0.549978,0.30578]","[-0.192244,2.370744,-0.03626]",-0.071545,-1.820766,0.34204,0.349442,satisfied,1,1,ok,satisfied,none,good,A,,Position a gray double bed with brown pillows below a wooden pendant lamp with a wooden shade.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,64:0:8-5-13,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,below,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
EG02-BED-0010,images/EG02-BED-0010.jpg,9e9c7c48-a631-4ded-a271-7dd697faf0dc_MasterBedroom-1615,bedroom,double_bed,below,pendant_lamp,2,3,"[-0.224708,0.442383,0.952653]","[0.171079,3.053193,0.757848]",-0.395787,-2.61081,0.194805,0.441131,satisfied,1,1,ok,satisfied,none,good,A,,Put a gray double bed with cover and pillows below a black metal pendant lamp with a hanging ball.,left dx<0; right dx>0; in_front_of dz>0; behind dz<0; above dy>0; below dy<0; close_to distance_xz<=0.75,collision_gated_floor_prior,105:0:8-5-13,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,below,1,1,satisfied,satisfied,satisfied,a_d_agree,,,agree
