room,variant,baseline_mesh_pair_rate,repair_mesh_pair_rate,gated_mesh_pair_rate,repair_mesh_delta,gated_mesh_delta,repair_gain,gated_gain,fallback_scenes,mesh_scenes_evaluated
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,0.0702439024390244,0.07365853658536585,0.06731707317073171,0.0034146341463414526,-0.0029268292682926855,0.13469387755102047,0.10204081632653061,10,162
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,0.0702439024390244,0.07121951219512195,0.06926829268292684,0.000975609756097548,-0.0009756097560975618,0.05714285714285716,0.04489795918367345,3,162
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,0.0702439024390244,0.07170731707317073,0.06878048780487805,0.0014634146341463289,-0.0014634146341463428,0.08571428571428574,0.06938775510204087,4,162
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,0.0702439024390244,0.0721951219512195,0.06829268292682927,0.0019512195121951098,-0.0019512195121951237,0.09387755102040818,0.07755102040816331,6,162
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,0.0702439024390244,0.07317073170731707,0.06829268292682927,0.0029268292682926716,-0.0019512195121951237,0.10204081632653061,0.07755102040816331,6,162
bedroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,0.0702439024390244,0.07317073170731707,0.06829268292682927,0.0029268292682926716,-0.0019512195121951237,0.10204081632653061,0.07755102040816331,6,162
bedroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,0.0702439024390244,0.07365853658536585,0.06829268292682927,0.0034146341463414526,-0.0019512195121951237,0.10204081632653061,0.07346938775510203,7,162
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,0.0702439024390244,0.07365853658536585,0.06829268292682927,0.0034146341463414526,-0.0019512195121951237,0.10204081632653061,0.07346938775510203,7,162
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,0.0702439024390244,0.07365853658536585,0.06829268292682927,0.0034146341463414526,-0.0019512195121951237,0.10204081632653061,0.07346938775510203,7,162
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,0.07743250127356088,0.08048904737646459,0.07590422822210902,0.0030565461029037067,-0.0015282730514518672,0.10204081632653061,0.07346938775510203,6,162
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,0.06191646191646192,0.062407862407862405,0.05945945945945946,0.0004914004914004858,-0.0024570024570024565,0.11428571428571432,0.0897959183673469,6,162
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,0.034228702993092865,0.03614735226400614,0.03330775134305449,0.0019186492709132724,-0.0009209516500383735,0.18959107806691444,0.10780669144981414,17,177
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,0.034228702993092865,0.034458940905602455,0.03384497313891021,0.00023023791250958991,-0.0003837298541826545,0.07806691449814118,0.052044609665427455,7,177
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,0.034228702993092865,0.034996162701458174,0.033691481197237146,0.000767459708365309,-0.000537221795855719,0.11524163568773227,0.059479553903345694,14,177
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,0.034228702993092865,0.035226400613967764,0.03361473522640061,0.0009976976208748989,-0.0006139677666922513,0.13382899628252787,0.07806691449814118,16,177
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,0.034228702993092865,0.035072908672294706,0.03361473522640061,0.0008442056792018413,-0.0006139677666922513,0.13382899628252787,0.07806691449814118,15,177
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,0.034228702993092865,0.035072908672294706,0.03346124328472755,0.0008442056792018413,-0.0007674597083653159,0.137546468401487,0.0817843866171003,16,177
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,0.034228702993092865,0.03537989255564083,0.03361473522640061,0.0011511895625479635,-0.0006139677666922513,0.137546468401487,0.07063197026022305,17,177
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,0.034228702993092865,0.03537989255564083,0.03361473522640061,0.0011511895625479635,-0.0006139677666922513,0.137546468401487,0.07063197026022305,17,177
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,0.034228702993092865,0.03476592478894858,0.03353798925556408,0.0005372217958557121,-0.0006907137375287836,0.137546468401487,0.08921933085501854,13,177
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,0.034321006958017354,0.0353373465718083,0.03346102728480963,0.0010163396137909467,-0.0008599796732077225,0.15613382899628248,0.0817843866171003,17,177
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,0.03332805573147562,0.033882203926535785,0.0324572514249525,0.0005541481950601668,-0.0008708043065231152,0.14869888475836435,0.1003717472118959,11,177
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,0.031257470714797994,0.0316160650251016,0.03054028209419077,0.000358594310303606,-0.0007171886206072224,0.19727891156462596,0.13605442176870752,14,192
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,0.031257470714797994,0.0314367678699498,0.031078173559646188,0.000179297155151803,-0.00017929715515180647,0.06462585034013613,0.04761904761904767,4,192
livingroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,0.031257470714797994,0.03197465933540521,0.031078173559646188,0.0007171886206072189,-0.00017929715515180647,0.1054421768707483,0.06462585034013613,11,192
livingroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,0.031257470714797994,0.032034425053789145,0.030958642122878317,0.000776954338991151,-0.00029882859191967745,0.13605442176870752,0.08843537414965996,13,192
livingroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,0.031257470714797994,0.032094190772173084,0.030958642122878317,0.0008367200573750899,-0.00029882859191967745,0.1428571428571429,0.08843537414965996,14,192
livingroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,0.031257470714797994,0.032094190772173084,0.030958642122878317,0.0008367200573750899,-0.00029882859191967745,0.1428571428571429,0.08843537414965996,14,192
livingroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,0.031257470714797994,0.03221372220894095,0.031078173559646188,0.000956251494142954,-0.00017929715515180647,0.1428571428571429,0.08843537414965996,14,192
livingroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,0.031257470714797994,0.03221372220894095,0.031078173559646188,0.000956251494142954,-0.00017929715515180647,0.1428571428571429,0.08843537414965996,14,192
livingroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,0.031257470714797994,0.03167583074348554,0.03089887640449438,0.00041836002868754496,-0.00035859431030361294,0.1428571428571429,0.09863945578231303,11,192
livingroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,0.03072855464159812,0.031903642773207994,0.030493537015276146,0.0011750881316098735,-0.000235017626321974,0.12585034013605434,0.0714285714285714,18,192
livingroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,0.027843637911119216,0.028816341418931243,0.02760046203416621,0.0009727035078120269,-0.000243175876953005,0.11224489795918358,0.05102040816326525,17,192
