room,variant,relation,n,baseline_acc,repair_acc,gain
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,0,15,0.8,0.7333333333333333,-0.06666666666666676
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,1,46,0.6956521739130435,0.8043478260869565,0.10869565217391308
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,2,45,0.8444444444444444,0.9555555555555556,0.11111111111111116
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,3,3,0.6666666666666666,1.0,0.33333333333333337
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,4,1,0.0,1.0,1.0
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,5,20,1.0,0.95,-0.050000000000000044
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,6,58,0.6724137931034483,0.8793103448275862,0.2068965517241379
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,7,55,0.6909090909090909,0.8727272727272727,0.18181818181818177
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,9,2,0.0,0.5,0.5
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,0,15,0.8,0.8,0.0
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,1,46,0.6956521739130435,0.7391304347826086,0.04347826086956519
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,2,45,0.8444444444444444,0.9111111111111111,0.06666666666666665
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,3,3,0.6666666666666666,1.0,0.33333333333333337
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,4,1,0.0,1.0,1.0
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,5,20,1.0,1.0,0.0
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,6,58,0.6724137931034483,0.7413793103448276,0.06896551724137934
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,7,55,0.6909090909090909,0.7272727272727273,0.036363636363636376
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,9,2,0.0,0.5,0.5
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,0,15,0.8,0.8,0.0
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,1,46,0.6956521739130435,0.782608695652174,0.08695652173913049
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,2,45,0.8444444444444444,0.9111111111111111,0.06666666666666665
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,3,3,0.6666666666666666,1.0,0.33333333333333337
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,4,1,0.0,1.0,1.0
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,5,20,1.0,1.0,0.0
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,6,58,0.6724137931034483,0.7931034482758621,0.12068965517241381
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,7,55,0.6909090909090909,0.7636363636363637,0.07272727272727275
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,9,2,0.0,0.5,0.5
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,0,15,0.8,0.8,0.0
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,1,46,0.6956521739130435,0.7608695652173914,0.0652173913043479
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,2,45,0.8444444444444444,0.9111111111111111,0.06666666666666665
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,3,3,0.6666666666666666,1.0,0.33333333333333337
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,4,1,0.0,1.0,1.0
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,5,20,1.0,1.0,0.0
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,6,58,0.6724137931034483,0.7931034482758621,0.12068965517241381
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,7,55,0.6909090909090909,0.8181818181818182,0.12727272727272732
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,9,2,0.0,0.5,0.5
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,0,15,0.8,0.8,0.0
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,46,0.6956521739130435,0.782608695652174,0.08695652173913049
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,45,0.8444444444444444,0.9111111111111111,0.06666666666666665
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,3,3,0.6666666666666666,1.0,0.33333333333333337
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,4,1,0.0,1.0,1.0
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,20,1.0,1.0,0.0
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,6,58,0.6724137931034483,0.8103448275862069,0.13793103448275856
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,7,55,0.6909090909090909,0.8181818181818182,0.12727272727272732
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,9,2,0.0,0.5,0.5
bedroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,0,15,0.8,0.8,0.0
bedroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,1,46,0.6956521739130435,0.782608695652174,0.08695652173913049
bedroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,2,45,0.8444444444444444,0.9111111111111111,0.06666666666666665
