room,variant,objects,y_changed,y_changed_rate,max_abs_y_delta,mean_xz_displacement,p95_xz_displacement
bedroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,866,0,0.0,0.0,0.1151406440323026,1.1157173718321138
bedroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,866,0,0.0,0.0,0.00684262574305957,0.0
bedroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,866,0,0.0,0.0,0.016494683085224764,0.0
bedroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,866,0,0.0,0.0,0.02198104886790827,0.0
bedroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,866,0,0.0,0.0,0.024435109612465,0.0
bedroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,866,0,0.0,0.0,0.024435109612465,0.0
bedroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,866,0,0.0,0.0,0.02247066907161099,0.0
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,866,0,0.0,0.0,0.02247066907161099,0.0
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,866,0,0.0,0.0,0.024854546880558097,0.0
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,846,0,0.0,0.0,0.027335989154994935,0.0
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,860,0,0.0,0.0,0.021606339874489486,0.0
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,2119,0,0.0,0.0,0.055853906389962786,0.0
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,2119,0,0.0,0.0,0.004392408446272865,0.0
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,2119,0,0.0,0.0,0.00949037190358911,0.0
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,2119,0,0.0,0.0,0.014432025978052765,0.0
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2119,0,0.0,0.0,0.01437493273768151,0.0
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,2119,0,0.0,0.0,0.015722103486701954,0.0
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,2119,0,0.0,0.0,0.013684351623807503,0.0
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,2119,0,0.0,0.0,0.013684351623807503,0.0
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,2119,0,0.0,0.0,0.016284863423580574,0.0
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,2106,0,0.0,0.0,0.017878784607859972,0.0
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,2096,0,0.0,0.0,0.018369249088007744,0.0
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,2540,0,0.0,0.0,0.062409646248456636,0.0
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,2540,0,0.0,0.0,0.0028402261931546814,0.0
livingroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,2540,0,0.0,0.0,0.008392644670875516,0.0
livingroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,2540,0,0.0,0.0,0.014630983542331383,0.0
livingroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2540,0,0.0,0.0,0.015257315412788873,0.0
livingroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,2540,0,0.0,0.0,0.015257315412788873,0.0
livingroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,2540,0,0.0,0.0,0.01468476507305577,0.0
livingroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,2540,0,0.0,0.0,0.01468476507305577,0.0
livingroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,2540,0,0.0,0.0,0.017101876183140262,0.0
livingroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,2581,0,0.0,0.0,0.012557212682881699,0.0
livingroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,2522,0,0.0,0.0,0.015220182993207794,0.0
