room,setting,scenes,relations,graph_acc,baseline_acc,repaired_acc,gain,easy_repaired_acc,parser_recall,parser_precision,repair_edits,repair_skipped,avg_move,layout_overlap_ratio,repair_overlap_ratio,overlap_delta,layout_oob,repair_oob
bedroom,p0,162,245,0.7387755102040816,0.7387755102040816,0.7387755102040816,0.0,0.7510204081632653,0.5265306122448979,0.5308641975308642,0,0,0.0,0.08697745079776557,0.08697745079776557,0.0,0.0,0.0
bedroom,p1,162,245,0.7387755102040816,0.7387755102040816,0.8530612244897959,0.11428571428571432,0.8571428571428571,0.5265306122448979,0.5308641975308642,45,24,2.5483119410725568,0.08697745345870778,0.07794240671521507,-0.009035046743492703,0.0,0.0011547344110854503
bedroom,p2,162,245,0.7387755102040816,0.7387755102040816,0.8734693877551021,0.13469387755102047,0.8734693877551021,0.5265306122448979,0.5308641975308642,59,50,2.5676992340376916,0.08697745079776557,0.08358645333014945,-0.003390997467616119,0.0,0.0
bedroom,p3,162,245,0.7387755102040816,0.7387755102040816,0.8816326530612245,0.1428571428571429,0.8816326530612245,0.5265306122448979,0.5308641975308642,68,76,2.591313810576418,0.08697745079776557,0.08012265584040602,-0.00685479495735955,0.0,0.0011547344110854503
livingroom,p0,192,294,0.5272108843537415,0.5510204081632653,0.5510204081632653,0.0,0.6122448979591837,0.43197278911564624,0.5545851528384279,0,0,0.0,0.1399313787549834,0.1399313787549834,0.0,0.0,0.0
livingroom,p1,192,294,0.5272108843537415,0.5510204081632653,0.7210884353741497,0.17006802721088443,0.7380952380952381,0.43197278911564624,0.5545851528384279,62,43,2.539132442667307,0.1399313787549834,0.13529242839792532,-0.00463895035705808,0.0,0.0
livingroom,p2,192,294,0.5272108843537415,0.5510204081632653,0.7414965986394558,0.19047619047619058,0.7551020408163265,0.43197278911564624,0.5545851528384279,73,87,2.5058597926106496,0.1399313787549834,0.13484102793362554,-0.005090350821357864,0.0,0.0
livingroom,p3,192,294,0.5272108843537415,0.5510204081632653,0.7448979591836735,0.19387755102040827,0.7585034013605442,0.43197278911564624,0.5545851528384279,78,131,2.4494959076199208,0.1399313787549834,0.13520247171795247,-0.004728907037030938,0.0,0.0
diningroom,p0,177,269,0.587360594795539,0.5947955390334573,0.5947955390334573,0.0,0.6319702602230484,0.483271375464684,0.5508474576271186,0,0,0.0,0.15540338238111207,0.15540338238111207,0.0,0.0,0.0
diningroom,p1,177,269,0.587360594795539,0.5947955390334573,0.7732342007434945,0.1784386617100372,0.7843866171003717,0.483271375464684,0.5508474576271186,57,36,2.1200957715309743,0.15540338238111207,0.15332784402292135,-0.002075538358190715,0.0,0.0
diningroom,p2,177,269,0.587360594795539,0.5947955390334573,0.7843866171003717,0.18959107806691444,0.79182156133829,0.483271375464684,0.5508474576271186,64,72,2.1341270502808545,0.15540338238111207,0.15416181194765669,-0.00124157043345538,0.0,0.0
diningroom,p3,177,269,0.587360594795539,0.5947955390334573,0.7843866171003717,0.18959107806691444,0.7955390334572491,0.483271375464684,0.5508474576271186,68,108,2.1108074638592345,0.15540338238111207,0.15330857292113548,-0.0020948094599765876,0.0,0.0
